2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:37		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:38		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:39		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:39		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:39		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:39		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:39		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:39		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:39		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:39		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:39		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:39		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:39		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:39		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:39		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:40		 wafer_16012020_051629.csv: File loaded successfully!!
2021-09-19/23:35:40		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:40		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:40		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:40		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:40		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:40		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:40		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:40		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:41		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:41		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:41		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:41		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:41		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:41		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:41		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:41		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:41		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:42		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:42		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:42		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:42		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:42		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:42		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:42		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:42		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:42		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:42		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:42		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:42		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:42		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:43		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:43		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:43		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:43		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:43		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:44		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:44		 wafer_20022020_090716.csv: File loaded successfully!!
2021-09-19/23:35:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
